V1,V2,V3
-33.02249041782466,-47.31663991082466,-53.75484311082466
-32.29578000185498,-46.58992949485498,-53.028132694854975
-31.582001125655513,-45.876150618655515,-52.314353818655505
-30.88143331357182,-45.17558280657182,-51.613786006571814
-30.194356089949476,-44.48850558294947,-50.926708782949476
-29.521048979134044,-43.81519847213404,-50.25340167213404
-28.861791505471096,-43.155940998471095,-49.59414419847109
-28.216863193306207,-42.5110126863062,-48.949215886306206
-27.58654356698494,-41.880693059984935,-48.31889625998494
-26.97111215085287,-41.26526164385287,-47.70346484385287
-26.370848469255563,-40.66499796225556,-47.10320116225556
-25.78603204653859,-40.080181539538586,-46.51838473953859
-25.217246092659583,-39.511395585659585,-45.949598785659575
-24.664419591597305,-38.9585690845973,-45.396772284597304
-24.126850728729057,-38.42100022172906,-44.85920342172905
-23.603837689432112,-37.89798718243211,-44.33619038243211
-23.09467865908376,-37.38882815208376,-43.82703135208375
-22.59867182306128,-36.89282131606128,-43.33102451606128
-22.11511536674196,-36.40926485974196,-42.847468059741956
-21.643307475503082,-35.937456968503085,-42.37566016850308
-21.182546334721938,-35.47669582772194,-41.91489902772194
-20.7321301297758,-35.0262796227758,-41.4644828227758
-20.291357046041963,-34.58550653904196,-41.02370973904196
-19.87003504403035,-34.16418453703035,-40.60238773703035
-19.47619903073225,-33.77034852373225,-40.20855172373225
-19.106487611246965,-33.40063710424697,-39.83884030424696
-18.757539390673806,-33.051688883673805,-39.4898920836738
-18.42599297411208,-32.72014246711208,-39.15834566711207
-18.108486966661097,-32.402636459661096,-38.84083965966109
-17.80165997342017,-32.095809466420164,-38.53401266642017
-17.502150599488594,-31.796300092488593,-38.23450329248859
-17.206597449965688,-31.50074694296569,-37.93895014296569
-16.91163912995076,-31.20578862295076,-37.64399182295075
-16.61391424454311,-30.90806373754311,-37.346266937543106
-16.31006139884206,-30.604210891842058,-37.042414091842055
-16.012075163727253,-30.306224656727252,-36.74442785672725
-15.731821578708505,-30.025971071708504,-36.4641742717085
-15.46574645183036,-29.75989594483036,-36.19809914483036
-15.21029559113736,-29.50444508413736,-35.942648284137356
-14.961914804674045,-29.256064297674044,-35.69426749767404
-14.717049900484959,-29.011199393484958,-35.449402593484955
-14.472146686614646,-28.766296179614645,-35.204499379614646
-14.223650971107649,-28.51780046410765,-34.95600366410765
-13.96800856200851,-28.262158055008513,-34.70036125500851
-13.701665267361774,-27.995814760361775,-34.43401796036177
-13.42106689521198,-27.71521638821198,-34.153419588211975
-13.13724907556557,-27.43139856856557,-33.869601768565566
-12.862149146491518,-27.156298639491517,-33.594501839491514
-12.593565478128163,-26.887714971128162,-33.32591817112816
-12.329296440613852,-26.62344593361385,-33.06164913361385
-12.067140404086924,-26.361289897086923,-32.79949309708692
-11.804895738685723,-26.09904523168572,-32.53724843168572
-11.540360814548592,-25.83451030754859,-32.27271350754859
-11.271334001813875,-25.565483494813876,-32.00368669481387
-10.995613670619914,-25.289763163619913,-31.72796636361991
-10.710998191105048,-25.00514768410505,-31.443350884105048
-10.415285933407628,-24.709435426407627,-31.147638626407623
-10.106275267665987,-24.400424760665988,-30.838627960665985
-9.793027678217118,-24.087177171217117,-30.525380371217114
-9.483962678553459,-23.77811217155346,-30.216315371553456
-9.175915682546549,-23.470065175546548,-29.908268375546545
-8.86572210406792,-23.15987159706792,-29.598074797067916
-8.550217356989114,-22.844366849989115,-29.28257004998911
-8.226236855181659,-22.52038634818166,-28.958589548181656
-7.890616012517095,-22.184765505517095,-28.622968705517092
-7.540190242866957,-21.834339735866955,-28.27254293586695
-7.171794960102778,-21.46594445310278,-27.904147653102775
-6.782265578096096,-21.076415071096097,-27.514618271096094
-6.368437510718445,-20.662587003718446,-27.100790203718443
-5.9371337191554225,-20.231283212155425,-26.669486412155422
-5.496944528181309,-19.791094021181312,-26.22929722118131
-5.047356397050663,-19.341505890050666,-25.779709090050662
-4.587855785018045,-18.882005278018042,-25.32020847801804
-4.117929151338007,-18.412078644338006,-24.850281844338003
-3.6370629552651104,-17.93121244826511,-24.369415648265104
-3.144743656053917,-17.438893149053918,-23.877096349053915
-2.6404577129589804,-16.934607205958983,-23.37281040595898
-2.1236915852348623,-16.41784107823486,-22.856044278234855
-1.5939317321361202,-15.88808122513612,-22.326284425136116
-1.0506646129173127,-15.344814105917312,-21.783017305917305
-0.49395351141912514,-14.788103004419126,-21.226306204419124
0.07567188746246245,-14.218477605537538,-20.656680805537533
0.6580255228899645,-13.636123970110036,-20.07432717011003
1.2529213340258956,-13.041228158974105,-19.479431358974104
1.860173260032763,-12.433976232967238,-18.872179432967236
2.4795952400730847,-11.814554252926916,-18.252757452926915
3.111001213309372,-11.183148279690629,-17.621351479690624
3.7542051189041317,-10.539944374095867,-16.978147574095864
4.409020896019886,-9.885128596980117,-16.323331796980106
5.075262483819142,-9.21888700918086,-15.657090209180856
5.75274382146441,-8.54140567153559,-14.979608871535588
