year,msl,msl_cm,smoothed_msl_cm,loess_msl
1928,-0.28675,-28.675,NA,-25.542180138824662
1929,-0.2564166666666667,-25.64166666666667,-27.554166666666667,-24.815469722854978
1930,-0.26433333333333336,-26.433333333333337,-25.1,-24.10169084665551
1931,-0.24558333333333335,-24.558333333333337,-24.112500000000004,-23.401123034571818
1932,-0.21791666666666668,-21.791666666666668,-21.566666666666663,-22.714045810949475
1933,-0.18575,-18.575,-22.554166666666667,-22.040738700134042
1934,-0.23316666666666663,-23.316666666666663,-19.420833333333334,-21.381481226471095
1935,-0.20266666666666663,-20.266666666666666,-21.829166666666666,-20.736552914306206
1936,-0.20341666666666663,-20.341666666666665,-18.391666666666666,-20.10623328798494
1937,-0.16516666666666668,-16.51666666666667,-18.7625,-19.49080187185287
1938,-0.17183333333333334,-17.183333333333334,-16.762500000000003,-18.890538190255562
1939,-0.17008333333333334,-17.008333333333333,-16.40416666666667,-18.30572176753859
1940,-0.15625,-15.625,-18.445833333333333,-17.73693581365958
1941,-0.1988333333333333,-19.883333333333333,-15.325,-17.184109312597304
1942,-0.15025,-15.025,-19.170833333333334,-16.646540449729056
1943,-0.18458333333333332,-18.458333333333332,-15.958333333333332,-16.12352741043211
1944,-0.16891666666666666,-16.891666666666666,-14.733333333333334,-15.614368380083757
1945,-0.11008333333333334,-11.008333333333336,-13.516666666666666,-15.11836154406128
1946,-0.10141666666666668,-10.141666666666667,-12.1375,-14.63480508774196
1947,-0.13266666666666663,-13.266666666666666,-10.6875,-14.162997196503083
1948,-0.11233333333333334,-11.233333333333334,-13.283333333333331,-13.702236055721938
1949,-0.133,-13.3,-13.683333333333334,-13.251819850775801
1950,-0.16133333333333333,-16.133333333333333,-12.325,-12.811046767041962
1951,-0.1135,-11.35,-13.741666666666667,-12.38972476503035
1952,-0.1135,-11.35,-10.766666666666666,-11.99588875173225
1953,-0.10183333333333332,-10.183333333333334,-12.425,-11.626177332246964
1954,-0.135,-13.5,-10.9875,-11.277229111673805
1955,-0.11791666666666668,-11.791666666666668,-11.341666666666669,-10.94568269511208
1956,-0.09183333333333334,-9.183333333333334,-12.041666666666668,-10.628176687661098
1957,-0.12291666666666666,-12.291666666666666,-9.15,-10.321349694420167
1958,-0.09116666666666666,-9.116666666666664,-11.870833333333334,-10.021840320488593
1959,-0.1145,-11.45,-8.620833333333334,-9.726287170965689
1960,-0.08125,-8.125,-9.829166666666666,-9.43132885095076
1961,-0.08208333333333333,-8.208333333333332,-7.479166666666666,-9.133603965543111
1962,-0.06833333333333333,-6.833333333333333,-10.724999999999998,-8.82975111984206
1963,-0.13241666666666663,-13.241666666666664,-9.091666666666669,-8.531764884727254
1964,-0.1135,-11.35,-11.166666666666666,-8.251511299708506
1965,-0.09091666666666666,-9.091666666666669,-10.458333333333332,-7.98543617283036
1966,-0.09566666666666666,-9.566666666666666,-8.079166666666667,-7.729985312137359
1967,-0.07066666666666667,-7.066666666666667,-9.141666666666666,-7.481604525674044
1968,-0.08716666666666667,-8.716666666666667,-6.511904761904763,-7.236739621484959
1969,-0.05957142857142857,-5.957142857142857,-6.595833333333333,-6.991836407614646
1970,-0.04475,-4.475,-5.124404761904762,-6.743340692107649
1971,-0.04291666666666666,-4.291666666666667,-2.8125,-6.487698283008511
1972,-0.0115,-1.15,-3.6625,-6.221354988361774
1973,-0.03033333333333333,-3.033333333333333,-3.1000000000000005,-5.9407566162119805
1974,-0.0505,-5.050000000000001,-3.254166666666667,-5.656938796565571
1975,-0.03475,-3.4750000000000005,NA,-5.381838867491518
1976,NA,-6.575000000000001,-6.575000000000001,-5.113255199128163
1977,-0.09675,-9.675,NA,-4.848986161613851
1978,-0.00683333333333333,-0.6833333333333333,-7.425000000000001,-4.586830125086923
1979,-0.05175,-5.175,-4.920833333333333,-4.324585459685723
1980,-0.09158333333333334,-9.158333333333331,-6.916666666666666,-4.0600505355485925
1981,-0.08658333333333333,-8.658333333333333,-6.8625,-3.791023722813875
1982,-0.04566666666666667,-4.566666666666666,-3.1208333333333336,-3.515303391619913
1983,0.02416666666666666,2.4166666666666665,-1.9791666666666663,-3.2306879121050494
1984,0.00608333333333333,0.6083333333333333,-0.2250000000000001,-2.9349756544076273
1985,-0.02866666666666666,-2.8666666666666667,-0.9416666666666668,-2.6259649886659884
1986,-0.02491666666666666,-2.4916666666666667,-1.65,-2.312717399217117
1987,-0.00433333333333333,-0.4333333333333333,-3.675,-2.0036523995534585
1988,-0.04858333333333333,-4.858333333333333,-2.5541666666666667,-1.695605403546548
1989,-0.04675,-4.675,-4.3375,-1.385411825067921
1990,-0.03816666666666667,-3.816666666666667,-2.8874999999999997,-1.0699070779891129
1991,-0.011,-1.1,-1.6666666666666667,-0.7459265761816593
1992,0.00483333333333333,0.48333333333333334,0.8750000000000001,-0.410305733517095
1993,0.0285,2.85,-0.975,-0.05987996386695605
1994,-0.02433333333333333,-2.433333333333333,0.9416666666666668,0.30851531889722233
1995,-0.00966666666666666,-0.9666666666666668,2.5791666666666675,0.6980447009039039
1996,0.07591666666666667,7.591666666666668,1.8541666666666663,1.111872768281555
1997,0.04675,4.675,7.5625,1.5431765598445768
